===============================================================
 [ 종합 RMSE 비교 요약: 거리별 (m) ]
===============================================================
Dist(m)    | Prop             | MUSIC            | LSTM             | MLP              | KF               | 1D-CNN
      64 | 2.2218           | 4.9693           | 4.0883           | 65.3894          | 65.9547          | 30.7597
      65 | 2.4008           | 5.0214           | 3.9805           | 68.3210          | 68.8986          | 31.3966
      66 | 3.1034           | 5.0141           | 4.0345           | 74.2869          | 74.8782          | 32.9557
      67 | 3.6924           | 5.0064           | 4.0704           | 74.5487          | 75.1352          | 33.6168
      68 | 3.3108           | 5.0282           | 4.0737           | 75.0876          | 75.6804          | 33.4568
      69 | 3.0332           | 5.0036           | 4.0254           | 74.8148          | 75.3878          | 33.5842
      70 | 3.3261           | 4.9831           | 4.1174           | 77.5675          | 78.1492          | 34.1262
      71 | 3.2871           | 4.9916           | 4.1012           | 75.0384          | 75.6082          | 33.5025
      72 | 3.7891           | 4.9957           | 4.2371           | 78.6327          | 79.2220          | 35.3941
      73 | 4.3963           | 5.0310           | 4.1985           | 85.2463          | 85.8582          | 37.1338
      74 | 4.1512           | 5.0287           | 4.2284           | 87.6315          | 88.2351          | 37.4204
      75 | 5.2053           | 4.9909           | 4.2346           | 93.3920          | 94.0217          | 38.7094
      76 | 5.0330           | 5.0312           | 4.3016           | 89.9908          | 90.6003          | 37.5507
      77 | 3.9813           | 5.0208           | 4.1786           | 83.1918          | 83.7861          | 36.1022
      78 | 5.5598           | 5.0062           | 4.2346           | 92.7634          | 93.3689          | 38.6865
      79 | 5.1022           | 5.0032           | 4.3960           | 93.0346          | 93.6578          | 40.6356
      80 | 5.4054           | 5.0157           | 4.2553           | 96.1265          | 96.7491          | 40.1241
      81 | 6.1525           | 5.0114           | 4.2625           | 95.3254          | 95.9397          | 40.2595
      82 | 6.6914           | 4.9808           | 4.3639           | 101.2707         | 101.8924         | 41.9086
      83 | 5.9826           | 4.9808           | 4.2480           | 96.5058          | 97.1202          | 39.8982
      84 | 5.5662           | 5.0054           | 4.3973           | 100.7784         | 101.4206         | 41.2723
      85 | 6.8004           | 4.9995           | 4.3115           | 100.1674         | 100.8075         | 41.5142
      86 | 6.8572           | 5.0048           | 4.3310           | 104.3471         | 104.9656         | 43.8977
      87 | 6.0438           | 4.9866           | 4.4452           | 102.6662         | 103.3173         | 42.9443
      88 | 7.8095           | 4.9999           | 4.4148           | 107.6917         | 108.3353         | 45.7440
      89 | 7.9889           | 5.0087           | 4.4170           | 108.0327         | 108.6824         | 44.7092
      90 | 7.7643           | 4.9969           | 4.3007           | 108.9725         | 109.6404         | 45.5859
      91 | 8.0136           | 4.9968           | 4.5269           | 113.1239         | 113.7748         | 46.3057
      92 | 8.9903           | 5.0119           | 4.4996           | 114.3302         | 114.9806         | 46.2019
      93 | 8.1615           | 5.0228           | 4.5130           | 108.3134         | 108.9343         | 44.8150
      94 | 8.7992           | 5.0024           | 4.5174           | 117.6145         | 118.2429         | 48.1664
      95 | 9.3064           | 5.0138           | 4.5751           | 119.9947         | 120.6421         | 48.2985
      96 | 8.7550           | 5.0332           | 4.6598           | 118.6410         | 119.2904         | 48.7200
      97 | 10.3185          | 4.9925           | 4.4895           | 120.8077         | 121.4590         | 48.9448
      98 | 9.8232           | 5.0281           | 4.6889           | 125.2837         | 125.9531         | 49.4977
      99 | 10.7682          | 4.9832           | 4.6413           | 122.7953         | 123.4550         | 50.6865
     100 | 10.5673          | 5.0212           | 4.6246           | 124.5445         | 125.1954         | 50.1616


===============================================================
 [ 종합 RMSE 비교 요약: DOA 검증별 (deg) ]
===============================================================
DOA(deg)   | Prop             | LSTM             | MLP              | KF               | 1D-CNN
--------------------------------------------------------------------------------------------------------------------
     0.0 | 0.1521           | 3.5332           | 18.1687          | 18.6300          | 18.0157
     0.1 | 0.2119           | 3.4697           | 18.6008          | 19.0684          | 18.1846
     0.2 | 0.3182           | 3.4792           | 17.9750          | 18.4248          | 17.7221
     0.3 | 0.4226           | 3.5451           | 18.1080          | 18.5506          | 17.9360
     0.4 | 0.5136           | 3.5319           | 18.1425          | 18.6080          | 17.6641
     0.5 | 0.6076           | 3.5621           | 18.1700          | 18.6259          | 17.9374
     0.6 | 0.6970           | 3.6739           | 18.0004          | 18.4501          | 17.7765
     0.7 | 0.7868           | 3.6225           | 18.1646          | 18.6279          | 18.1642
     0.8 | 0.8776           | 3.6887           | 17.8611          | 18.3070          | 17.9091
     0.9 | 0.9745           | 3.7049           | 18.0992          | 18.5521          | 18.1661
     1.0 | 1.0641           | 3.7950           | 18.1491          | 18.6068          | 18.0423
     1.1 | 1.1617           | 3.8454           | 18.4294          | 18.8876          | 18.0666
     1.2 | 1.2668           | 3.9504           | 18.2127          | 18.6590          | 18.1917
